time,AcX,AcY,GyZ
163,140,-688,11
185,160,-680,47
205,184,-336,16
227,516,-612,5
247,72,-312,71
269,-384,-592,15
2786,-228,-1584,159
2807,796,1768,80
2829,-16,-764,48
2849,-32,424,190
2871,60,-536,75
2891,116,-736,96
2913,108,-620,73
2933,128,-508,43
2999,264,-268,8
3020,-204,-296,-29
3041,36,-756,52
3062,-40,-728,68
3084,152,-480,105
3104,40,-404,49
3126,-64,-460,38
3146,-80,-532,43
3168,-136,-488,41
3188,76,-420,69
3210,-24,-504,59
3231,56,-532,51
3252,100,-504,41
3273,52,-380,73
3297,712,-744,48
3318,-164,-576,60
3339,100,-492,60
3360,-28,-448,49
3382,64,-492,90
3402,0,-468,55
3466,140,-544,59
3487,68,-496,66
3509,-20,-468,48
3529,-60,-488,69
3551,-44,-500,63
3571,-36,-480,69
3593,48,-412,66
3614,-52,-436,64
3643,64,-468,68
3664,0,-460,51
3686,84,-460,79
3706,64,-416,51
3728,-52,-500,58
3748,28,-504,52
3770,80,-460,69
3790,76,-520,73
3812,-12,-512,75
3833,16,-488,44
3854,8,-408,57
3875,120,-444,66
3934,-20,-480,50
3955,24,-516,81
3976,32,-504,64
3997,12,-560,61
4021,-16,-472,64
4042,36,-520,40
4063,60,-468,62
4084,8,-404,76
4106,-20,-460,77
4126,36,-628,62
4148,164,-584,65
4168,56,-568,59
4190,-64,-464,74
4211,24,-476,57
4232,32,-464,59
4253,-8,-428,61
4274,28,-512,61
4295,60,-448,49
4316,8,-476,63
4337,8,-496,69
4396,-28,-568,62
4417,64,-404,76
4438,-4,-504,62
4459,-52,-544,59
4481,-40,-396,55
4501,80,-520,68
4523,-40,-484,63
4543,96,-536,59
4564,-36,-452,47
4586,24,-508,72
4606,20,-432,60
4628,132,-556,60
4648,-40,-456,64
4673,92,-424,64
4695,96,-448,55
4715,-12,-532,61
4737,24,-476,53
4757,40,-600,82
4779,88,-512,69
4800,-60,-596,62
4858,32,-452,57
4888,-4,-504,73
4909,28,-480,68
4930,-28,-444,57
4951,-52,-548,54
4972,220,-496,44
4994,-536,-724,36
5014,-284,-532,-36
5036,256,-176,-82
5057,-64,-616,-204
5078,36,-816,-233
5099,-120,-328,-183
5121,-452,-332,-108
5141,52,-796,-49
5163,-100,-392,90
5184,-456,-120,226
5204,-188,-836,384
5226,-268,-1008,641
5248,-384,-268,929
5268,-720,-300,1284
5327,-704,-492,2542
5351,-704,-500,3040
5372,-656,-540,3487
5394,-720,-504,3990
5415,-612,-632,4510
5436,-880,-768,5068
5457,-888,-460,5676
5479,-772,-544,6213
5499,-640,-848,6732
5521,-604,-924,7222
5542,-740,-784,7730
5564,-948,-800,8320
5584,-1008,-880,8902
5606,-912,-988,9507
5627,-892,-1024,10139
5649,-1064,-1036,10755
5669,-1000,-1068,11413
5691,-1112,-1204,12025
5712,-768,-1228,12596
5734,-392,-1608,13063
5792,-1092,-784,14703
5814,-944,-1112,15297
5835,-588,-1868,15801
5857,-424,-2068,16216
5881,-348,-1788,16627
5902,-244,-1580,17002
5923,-744,-1680,17390
5945,-436,-2016,17736
5966,-100,-1900,18085
5988,-336,-1916,18350
6009,-36,-2380,18542
6030,-168,-2272,18770
6051,-312,-2204,18974
6073,-144,-2128,19172
6103,72,-2128,19414
6123,-228,-2268,19564
6145,-112,-2388,19769
6166,-124,-2272,19923
6188,-204,-2448,20120
6209,-336,-2572,20378
6267,36,-2484,20913
6288,292,-2600,21003
6309,0,-2600,21013
6331,112,-2440,20988
6351,284,-2288,20934
6373,436,-2620,20845
6394,36,-2636,20800
6419,68,-2432,20715
6439,132,-2556,20654
6461,380,-2556,20624
6482,180,-2500,20560
6503,168,-2440,20506
6524,144,-2524,20422
6546,232,-2528,20387
6567,116,-2436,20352
6588,132,-2428,20267
6609,76,-2496,20241
6631,172,-2380,20180
6651,188,-2508,20149
6673,84,-2460,20084
6732,72,-2348,19971
6753,96,-2432,19920
6774,96,-2456,19866
6796,12,-2380,19837
6816,-20,-2368,19800
6838,-36,-2348,19738
6859,-8,-2448,19700
6880,32,-2340,19671
6901,172,-2296,19632
6923,156,-2248,19583
6944,52,-2228,19527
6968,-88,-2376,19491
6989,60,-2220,19454
7011,84,-2168,19411
7032,108,-2152,19335
7053,48,-2396,19322
7074,-56,-2116,19270
7096,108,-2148,19223
7116,152,-2136,19170
7138,-52,-2116,19115
7196,120,-2052,18989
7218,208,-2080,18953
7239,-76,-2124,18880
7260,-40,-2124,18861
7281,36,-2116,18795
7303,100,-2008,18761
7324,68,-2080,18693
7353,60,-1980,18626
7374,64,-2156,18569
7396,116,-1996,18536
7416,180,-1904,18477
7438,108,-2056,18398
7459,-80,-1988,18374
7481,44,-2084,18350
7504,184,-1960,18280
7526,144,-2000,18233
7547,-44,-2020,18223
7569,100,-2060,18172
7590,148,-1948,18153
7611,132,-1940,18134
7670,68,-1944,17992
7691,36,-1904,17953
7712,156,-2016,17900
7734,172,-2024,17887
7755,-64,-1840,17869
7776,132,-1848,17837
7797,204,-1912,17826
7819,156,-1880,17776
7840,188,-1820,17744
7861,172,-1812,17694
7882,60,-1932,17681
7904,120,-1928,17630
7925,236,-1888,17610
7946,228,-1832,17569
7967,112,-1892,17524
7989,160,-1800,17519
8010,112,-1828,17484
8031,100,-1856,17434
8055,196,-1820,17419
8077,76,-1848,17381
8135,160,-1772,17256
8157,180,-1724,17230
8177,252,-1784,17164
8199,88,-1880,17142
8220,116,-1696,17105
8242,180,-1888,17051
8262,136,-1764,17010
8284,240,-1752,16982
8305,188,-1844,16909
8326,196,-1684,16874
8347,108,-1736,16813
8369,196,-1848,16813
8390,232,-1808,16746
8411,212,-1752,16690
8432,92,-1772,16657
8454,72,-1808,16605
8474,240,-1748,16544
8496,292,-1692,16511
8517,232,-1680,16446
8539,220,-1856,16410
8597,140,-1716,16249
8633,184,-1876,16142
8654,124,-1748,16135
8676,192,-1592,16046
8696,184,-1716,16009
8718,152,-1736,15971
8739,108,-1808,15921
8761,140,-1768,15877
8781,116,-1784,15828
8803,108,-1644,15762
8824,160,-1568,15708
8845,96,-1776,15665
8866,232,-1628,15625
8888,192,-1608,15557
8909,168,-1656,15509
8930,240,-1652,15451
8951,136,-1720,15383
8973,60,-1756,15344
8993,128,-1576,15299
9015,192,-1540,15241
9074,116,-1712,15084
9095,36,-1560,15000
9116,168,-1544,14969
9138,264,-1624,14909
9159,72,-1616,14869
9183,116,-1500,14799
9204,108,-1580,14735
9226,160,-1620,14665
9247,92,-1624,14611
9268,132,-1416,14583
9289,280,-1496,14520
9311,108,-1532,14437
9331,200,-1500,14412
9353,0,-1516,14354
9374,132,-1512,14307
9396,8,-1572,14268
9416,96,-1492,14219
9438,72,-1484,14170
9459,24,-1624,14126
9480,44,-1532,14070
9539,188,-1532,13966
9560,48,-1412,13885
9581,-68,-1360,13857
9603,48,-1452,13746
9623,120,-1580,13721
9645,44,-1508,13727
9666,72,-1412,13705
9688,4,-1280,13653
9708,-8,-1416,13427
9733,20,-1328,13407
9754,128,-1348,13355
9787,144,-1432,13310
9808,-100,-1404,13301
9830,0,-1268,13305
9851,-24,-1296,13105
9872,52,-1184,13161
9893,24,-1424,13048
9915,72,-1452,13087
9936,0,-1264,12947
9957,-76,-1200,12956
10016,60,-1328,12770
10037,-8,-1340,12793
10058,-44,-1192,12719
10080,84,-1256,12659
10101,48,-1228,12674
10122,-80,-1268,12633
,-144,-1188,12574
10168,176,-1244,12526
10189,100,-1272,12454
10210,-16,-1220,12451
10231,-116,-1172,12398
10253,-4,-1088,12355
10277,36,-1220,12304
10299,84,-1156,12224
10319,128,-1172,12223
10341,-8,-1080,12150
10362,0,-1156,12108
10384,-44,-1132,12035
10404,96,-1212,12000
10426,40,-1152,11959
10484,84,-1076,11833
10506,72,-1104,11778
10527,20,-1028,11732
10549,-68,-1100,11684
10569,60,-1060,11660
10591,12,-1020,11617
10612,-32,-1116,11586
10634,24,-1112,11539
10654,16,-1120,11528
10676,-16,-1116,11470
10697,-272,-1108,11449
10719,72,-1048,11385
10740,0,-1116,11375
10761,68,-1084,11350
10782,-28,-1032,11318
10807,92,-1000,11253
10828,36,-1036,11232
10849,48,-1052,11201
10870,36,-1032,11171
10892,24,-996,11113
10950,24,-1008,11006
10972,40,-996,10972
10993,-36,-952,10962
11026,104,-992,10922
11047,96,-952,10892
11068,8,-1052,10860
11089,36,-968,10830
11111,48,-904,10790
11132,128,-976,10784
11153,12,-996,10763
11174,80,-996,10725
11196,148,-1004,10689
11217,52,-968,10663
11238,104,-1044,10602
11259,140,-972,10574
11281,96,-924,10532
11301,64,-896,10478
11323,-40,-860,10441
11344,88,-900,10402
11369,136,-892,10380
11427,100,-948,10233
11449,100,-908,10188
11470,104,-916,10160
11492,144,-908,10103
11512,92,-1048,10035
11534,112,-860,10032
11555,112,-904,9993
11577,92,-952,9948
11597,220,-900,9886
11619,92,-904,9815
11640,112,-964,9777
11661,172,-816,9697
11682,68,-940,9664
11704,160,-916,9590
11725,280,-968,9534
11746,120,-916,9459
11767,88,-836,9408
11789,144,-872,9347
11809,180,-928,9287
11831,108,-848,9224
11889,188,-840,9036
11911,60,-960,8953
11932,256,-920,8931
11957,176,-804,8812
11977,144,-924,8769
11999,172,-844,8700
12020,96,-796,8622
12041,244,-788,8571
12062,304,-916,8499
12084,116,-812,8416
12105,124,-848,8388
12126,220,-876,8279
12147,236,-852,8239
12169,200,-804,8158
12189,72,-772,8106
12224,256,-852,7979
12246,172,-732,7946
12267,252,-752,7864
12289,168,-780,7800
12309,164,-804,7728
12367,196,-788,7552
12389,188,-792,7522
12410,168,-800,7415
12431,120,-796,7381
12452,168,-872,7304
12474,196,-724,7240
12494,120,-764,7197
12519,184,-812,7112
12540,196,-804,7050
12562,124,-780,6998
12582,164,-776,6958
12604,172,-720,6909
12625,184,-872,6826
12646,84,-808,6777
12667,208,-696,6758
12689,100,-812,6684
12710,200,-796,6649
12731,108,-756,6574
12752,184,-780,6552
12774,248,-824,6478
12832,132,-748,6383
12853,200,-728,6344
12874,144,-764,6264
12896,112,-888,6239
12916,132,-704,6196
12938,144,-752,6153
12959,56,-736,6104
12980,104,-816,6080
13001,200,-796,6036
13023,20,-816,5997
13043,160,-716,5958
13065,148,-824,5931
13089,-32,-720,5884
13111,4,-744,5868
13131,-12,-704,5805
13153,84,-836,5783
13174,92,-688,5731
13195,48,-864,5721
13216,124,-704,5669
13238,124,-820,5658
13295,92,-788,5561
13317,28,-804,5536
13338,80,-724,5503
13359,80,-684,5467
13380,132,-700,5443
13402,132,-812,5399
13422,144,-640,5370
