time,AcX,AcY,GyZ
1053,136,-624,64
1075,124,-444,62
1095,-72,-240,31
1117,96,-604,55
1138,-88,-368,83
1159,68,-508,38
1180,32,-552,76
1969,136,-756,63
1990,76,-448,68
2011,88,-568,71
2032,48,-360,66
2053,108,-124,51
2074,124,-772,35
2095,-4,-708,78
2116,16,-1300,5
2137,864,-3124,137
2158,128,72,67
2179,-24,-200,9
2200,268,-1072,54
2263,100,-608,67
2284,-168,-620,90
2313,208,-500,87
2334,192,-548,62
2355,72,-636,43
2376,48,-800,86
2397,296,-704,91
2418,112,-572,67
2440,48,-840,44
2460,-84,-796,56
2479,-48,-1144,75
2500,-200,-480,54
2522,416,-1532,126
2542,2536,-488,-74
2564,888,-680,-66
2584,108,-916,49
2606,380,-684,86
2627,168,-332,61
2648,348,-724,36
2669,116,-916,82
2690,132,-636,97
2747,92,-728,51
2768,52,-824,66
2789,204,-680,58
2810,268,-736,63
2831,168,-640,75
2852,72,-664,65
2874,160,-804,68
2894,220,-800,53
2916,144,-452,70
2936,88,-536,72
2958,104,-744,90
7111,492,-1272,409
7133,420,-692,401
7972,-52,-904,-238
7994,-212,-1088,-233
8014,48,-1112,-187
8039,92,-1048,-155
8100,432,-372,-52
8121,276,-304,-9
8142,0,-1452,2
11162,-1112,5256,12
11227,0,-1148,60
11248,92,-804,69
11269,-4,-852,72
11290,-116,-944,56
11311,-148,-1012,36
11332,100,-992,16
11354,152,-1244,-23
11374,36,-1108,-16
11396,36,-1020,7
11417,16,-876,7
11438,48,-904,23
11459,-4,-940,16
11480,180,-948,19
11501,160,-696,10
11530,-48,-700,2
11551,-12,-636,33
11572,-104,-676,-19
11593,-64,-636,13
11614,-84,-860,11
11635,84,-696,27
11657,108,-728,20
11713,-176,-780,73
11738,104,-660,29
11759,168,-724,53
11780,204,-868,58
11801,80,-656,72
11822,-20,-456,51
11843,28,-640,50
11865,124,-764,75
11885,-8,-532,68
11907,48,-612,56
11927,104,-612,46
11949,120,-620,68
11970,116,-672,72
11991,4,-732,58
12012,72,-576,37
12033,168,-616,65
12054,-40,-664,52
12075,4,-616,65
12096,108,-700,76
12116,-24,-680,66
12138,80,-564,70
12195,-20,-560,66
12216,-24,-596,69
12237,20,-672,56
12258,108,-680,70
12279,92,-632,44
12300,84,-696,53
12321,-32,-672,54
12343,-16,-676,65
12366,-40,-556,65
12388,112,-668,46
12408,108,-692,60
12430,32,-640,78
12451,12,-588,53
12472,80,-708,59
12493,12,-648,64
12514,8,-560,59
12535,-8,-628,64
12556,136,-680,63
12577,100,-624,66
12599,-28,-712,68
12619,-60,-640,59
12677,100,-756,38
12698,84,-340,-9
12719,-32,-600,7
12740,-60,-708,-12
12769,412,-764,-24
12790,696,-340,-234
12811,776,-416,-604
12832,1396,-508,-1256
12854,1376,-772,-2077
12874,1600,-808,-2943
12896,1548,-844,-3842
12917,1888,-500,-4805
12939,1616,-380,-5797
12962,1688,-980,-6968
12984,1800,-1236,-7962
13005,2088,-1000,-8999
13027,2244,-792,-10127
13048,2272,-1084,-11366
13069,2300,-1360,-12711
13090,2780,-1152,-14180
13112,2708,-1856,-15705
13169,2732,-2200,-19848
13191,2560,-2544,-21433
13212,2584,-2988,-22947
13234,2908,-3584,-24347
13255,3392,-3604,-26002
13276,3064,-3896,-27602
13297,2780,-4248,-29214
13319,2892,-5004,-30715
13340,3252,-5128,-32196
13362,3616,-5896,-32768
13383,3504,-6328,-32768
13404,2772,-7172,-32768
13425,1840,-8564,-32768
13450,636,-8096,-32768
13471,988,-7284,-32768
13493,256,-6996,-32768
13513,236,-7136,-32768
13535,84,-8056,-32768
13556,532,-8392,-32768
13578,484,-7940,-32768
13598,452,-7668,-32768
13656,168,-7892,-32768
13677,16,-7960,-32768
13699,216,-7668,-32768
13720,308,-7476,-32768
13741,304,-7644,-32768
13762,444,-7696,-32768
13784,452,-7596,-32768
13805,468,-7656,-32768
13827,220,-7504,-32768
13847,44,-7480,-32768
13869,16,-7540,-32768
13890,92,-7452,-32768
13912,292,-7484,-32768
13936,164,-7540,-32768
13965,-36,-7392,-32768
13986,124,-7420,-32768
14008,-60,-7268,-32768
14029,40,-7116,-32768
14050,-180,-7228,-32768
14071,-40,-7224,-32768
14093,4,-7276,-32768
14150,36,-7072,-32768
14172,24,-7060,-32768
14193,72,-6924,-32768
14214,-20,-6732,-32768
14235,-340,-6788,-32768
14257,-68,-6896,-32768
14278,84,-6708,-32768
14300,92,-6736,-32768
14320,96,-6652,-32768
14342,20,-6440,-32768
14363,164,-6488,-32768
14385,208,-6540,-32768
14405,204,-6408,-32768
14427,24,-6492,-32768
14451,184,-6492,-32768
14473,196,-6472,-32768
14494,424,-6284,-32768
14516,452,-6292,-32768
14536,332,-6296,-32768
14558,252,-6328,-32768
14579,172,-6188,-32768
14637,364,-6184,-32768
14658,332,-6124,-32768
14680,312,-6188,-32768
14700,224,-6012,-32768
14722,208,-6048,-32768
14743,252,-6060,-32768
14765,272,-6040,-32768
14786,244,-5900,-32768
14807,148,-5968,-32768
14828,172,-5864,-32768
14850,160,-5872,-32768
14871,320,-5800,-32768
14893,292,-5848,-32768
14914,404,-5792,-32768
14938,340,-5732,-32768
14959,336,-5944,-32768
14981,232,-5924,-32768
15002,268,-5852,-32768
15024,232,-5768,-32768
15044,224,-5692,-32768
15066,232,-5588,-32768
15124,228,-5780,-32768
15145,308,-5784,-32768
15166,172,-5604,-32768
15187,108,-5712,-32768
15218,276,-5628,-32768
15240,164,-5548,-32768
15261,208,-5708,-32768
15283,24,-5816,-32665
15304,-16,-5816,-32589
15326,12,-5488,-32514
15346,132,-5424,-32393
15368,-56,-5496,-32295
15389,100,-5672,-32196
15411,-52,-5468,-32075
15432,32,-5388,-31940
15457,48,-5376,-31835
15477,-4,-5476,-31701
15499,-124,-5448,-31593
15520,-92,-5292,-31457
15542,28,-5204,-31314
15563,128,-5232,-31200
15622,-200,-5244,-30875
15643,44,-5232,-30747
15665,12,-5108,-30628
15686,116,-5128,-30522
15707,-48,-5068,-30431
15728,140,-5012,-30355
15750,112,-5248,-30230
15771,156,-5064,-30169
15792,236,-4872,-30070
15813,-24,-4884,-29986
15835,120,-4912,-29899
15856,72,-4952,-29829
15878,180,-4876,-29786
15898,116,-4832,-29691
15920,184,-4596,-29620
15944,132,-4852,-29560
15966,296,-4940,-29527
15987,196,-4816,-29455
16008,212,-4724,-29399
16029,100,-4660,-29347
16051,188,-4580,-29272
16116,156,-4616,-29128
16137,60,-4696,-29074
16158,64,-4532,-28978
16180,248,-4548,-28976
16201,196,-4608,-28956
16222,276,-4588,-28898
16243,136,-4544,-28861
16265,300,-4548,-28792
16286,220,-4468,-28756
16308,308,-4440,-28725
16328,380,-4624,-28698
16350,300,-4552,-28662
16371,140,-4380,-28644
16393,188,-4420,-28620
16414,60,-4456,-28552
16443,348,-4360,-28520
16467,256,-4428,-28495
16489,148,-4416,-28470
16510,164,-4400,-28447
16531,48,-4464,-28412
16552,164,-4388,-28389
16610,184,-4336,-28305
16631,228,-4240,-28239
16653,216,-4396,-28230
16674,168,-4304,-28189
16695,204,-4280,-28127
16716,160,-4184,-28079
16738,120,-4372,-28025
16759,80,-4288,-27975
16781,92,-4272,-27933
16801,136,-4268,-27845
16823,172,-4260,-27805
16844,12,-4264,-27717
16866,-28,-4232,-27632
16887,108,-4224,-27535
16908,-60,-4168,-27436
16929,-16,-4128,-27355
16954,-28,-4200,-27227
16975,68,-4060,-27154
16997,-124,-4024,-27068
17017,-168,-3964,-26955
17039,36,-4020,-26879
17097,-112,-4044,-26598
17118,-108,-4096,-26434
17139,-76,-3812,-26336
17161,36,-3832,-26223
17182,-48,-3952,-26114
17204,40,-3860,-26005
17224,-64,-3836,-25899
17246,-72,-3736,-25790
17267,-8,-3816,-25685
17289,36,-3664,-25564
17309,-40,-3784,-25492
17331,-112,-3812,-25369
17352,20,-3604,-25250
17374,64,-3564,-25189
17395,20,-3768,-25086
17416,180,-3624,-25000
17437,-4,-3656,-24937
17462,76,-3540,-24835
17483,12,-3668,-24770
17505,64,-3760,-24701
17525,120,-3464,-24625
17584,148,-3620,-24443
17604,-88,-3636,-24403
17626,76,-3492,-24339
17647,104,-3272,-24274
17676,160,-3332,-24177
17697,176,-3512,-24130
17719,16,-3404,-24061
17740,56,-3296,-24007
17762,216,-3296,-23964
17782,176,-3308,-23908
17804,104,-3316,-23820
17825,72,-3464,-23786
17847,172,-3308,-23713
17868,224,-3240,-23673
